file,line,label,pattern,snippet
autodense/packaging/scripts/build_llama_universal.sh,19,Bundled ImageJ binary,(?:ImageJ\.app|Fiji\.app|ij\.jar|ImageJ-linux64|ImageJ-win64\.exe),mkdir -p ../resources/Fiji.app/Contents/Resources/bin
autodense/packaging/scripts/build_llama_universal.sh,20,Bundled ImageJ binary,(?:ImageJ\.app|Fiji\.app|ij\.jar|ImageJ-linux64|ImageJ-win64\.exe),mv llama-server-universal ../resources/Fiji.app/Contents/Resources/bin/llama-server
scripts/package_codebase.py,74,Bundled ImageJ binary,(?:ImageJ\.app|Fiji\.app|ij\.jar|ImageJ-linux64|ImageJ-win64\.exe),"""packaging/resources/Fiji.app"","
scripts/build_classpath.sh,71,Direct java/CLASSPATH invocation,(?:java\s+-cp|^classpath\s*=),"if java -cp ""$FULL_CLASSPATH"" com.betterdairy.autodense.cli.AutotuneAnalysisCLI 2>/dev/null; then"
autodense/packaging/scripts/build_and_package.sh,47,Fiji reference,\bFiji\b,"echo ""   🔸 SHADING: Jackson, Gson, OkHttp, Apache Commons (avoid Fiji conflicts)"""
autodense/packaging/scripts/build_and_package.sh,160,Fiji reference,\bFiji\b,"echo ""  ✅ AVOID: Fiji built-ins (ImageJ, SciJava, ImgLib2)"""
autodense/packaging/scripts/build_llama_universal.sh,19,Fiji reference,\bFiji\b,mkdir -p ../resources/Fiji.app/Contents/Resources/bin
autodense/packaging/scripts/build_llama_universal.sh,20,Fiji reference,\bFiji\b,mv llama-server-universal ../resources/Fiji.app/Contents/Resources/bin/llama-server
autodense/packaging/scripts/build_llama_universal.sh,21,Fiji reference,\bFiji\b,chmod +x ../resources/Fiji.app/Contents/Resources/bin/llama-server
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/BandDetector.java,469,Fiji reference,\bFiji\b,* Quantifies a single band using advanced Fiji algorithms.
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/BandQuantification.java,7,Fiji reference,\bFiji\b,* Represents the quantification results for a single band using proven Fiji algorithms.
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/BandQuantification.java,46,Fiji reference,\bFiji\b,// Core quantification results (Fiji standard)
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/BandQuantification.java,145,Fiji reference,\bFiji\b,* Creates a CSV header line compatible with Fiji exports
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/FijiBandDetector.java,11,Fiji reference,\bFiji\b,* Enhanced band detector with Fiji's proven quantification algorithms.
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/FijiBandDetector.java,19,Fiji reference,\bFiji\b,* Quantifies a single band using Fiji's proven algorithms.
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/ClasspathAudit.java,14,Fiji reference,\bFiji\b,* - Version conflicts between AutoDense and Fiji dependencies
autodense_autotune/java_bridge.py,99,Fiji reference,\bFiji\b,"""""""Discover Fiji/ImageJ installation using environment or auto-discovery"""""""
cspell.json,7,Fiji reference,\bFiji\b,"""densitometry"",""Fiji"",""ImageJ2"",""JSONL"",""LLOQ"","
scripts/discover_imagej.py,3,Fiji reference,\bFiji\b,Fiji/ImageJ Discovery and Classpath Management for AutoDense
scripts/discover_imagej.py,5,Fiji reference,\bFiji\b,This script provides intelligent discovery and caching of Fiji/ImageJ installations
scripts/env_check.py,8,Fiji reference,\bFiji\b,- Fiji/ImageJ discovery and validation
scripts/env_check.py,156,Fiji reference,\bFiji\b,"""""""Validate Fiji/ImageJ environment"""""""
scripts/package_codebase.py,74,Fiji reference,\bFiji\b,"""packaging/resources/Fiji.app"","
scripts/test_env.sh,15,Fiji reference,\bFiji\b,# Set Fiji directory
scripts/test_env.sh,16,Fiji reference,\bFiji\b,export FIJI_DIR=/Applications/Fiji
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistBandTool.java,126,ImageJ IJ.* static call,\bIJ\.[A-Za-z_],"IJ.showMessage(""BandAssist"", ""No operations to undo."");"
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/PetriColonyMask.java,42,ImageJ IJ.* static call,\bIJ\.[A-Za-z_],"IJ.run(blueIndexImage, ""Options..."", ""iterations=2 count=1 black do=Open"");"
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/ClasspathAudit.java,24,ImageJ IJ.* static call,\bIJ\.[A-Za-z_],"IJ.log(""🔍 Running AutoDense Classpath Audit..."");"
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/ClasspathAudit.java,25,ImageJ IJ.* static call,\bIJ\.[A-Za-z_],"IJ.log(""=========================================="");"
