path,title,words,links,sha256,last_verified
.claude/commands/ADDTOCHANGELOG.md,Update Changelog,232,https://keepachangelog.com/;https://semver.org/,006378830a80e938ec9facf45f388216879685707e9d198da4edf6aba6f8505e,
.claude/commands/STARTUP.md,AutoDense Development Startup Guide,131,,3389af7da65677670476847681c54b61fcac38e16f9d056bc2047f05ca3c212c,
.claude/commands/WRAPUP.md,,58,,917bd5d0dcdd042df78ad730bfe86c939ad7129163ed323fae8d555c7a8fe22a,
.github/PULL_REQUEST_TEMPLATE.md,,207,,e986214895243ce8ea2b40ca1f81a93741fb5c442c028a68bbfd22918bc17ffb,
Architecture.md,ARCHITECTURE.md (Detailed Reference),403,,9b45f21d9d19e20ee5b1217981868ba9dc6214700d684964001714969f963f77,
CLAUDE.md,CLAUDE.md (Concise Session Primer),753,,ae95a554600cc1d3ad04163a8648ccbe5ed215aa0ba2eb4f6aee3d168ac2a560,
ChatGPT/Cleanup.md,What “good” looks like (target structure),4306,"../$(realpath --relative-to=""$DIR"" ""$(dirname ""$NEW"";../<new-canonical-path>.md;../workflows/sds-page.md",cc74a6f4fb56e779bdf6ebe9dd45da46fa4ce92beed3a0c8d181b1c8f3db9ba2,2025-08-26
ChatGPT/What to fix (surgical and minimal).md,1) New preset: `SdsPageDensitometryPreset.java`,1955,,e1259c74cbd430099d96e875ebab7badcfb137c9e1211bf27983b6ad51e47493,
SessionSummaries/Session_summary_August_20_2025.md,AutoDense Development Session Wrap-Up,690,,abacf35a2da4efe221a7681189a0536cd9e92d050ff709385c7ec2b134f0795d,
SessionSummaries/Session_summary_August_25_2025.md,AutoDense Architecture Restoration Session Summary,1128,,4c3762238910ecac1660f6344c77695633506d9755952f30464ed4391c4c24b0,
autodense/README.md,AutoDense,358,,47d64b82fd7efb34430f0be029d55572e128fe7a770f9f78c734c21113e53763,
autodense/plugin/src/main/java/com/betterdairy/autodense/demos/README.md,AutoDense Demo System,128,,7fb15d3f42a8018951434b46d116663853b262e7d0c06b8079e0cec53a315c9a,
docs/API_REFERENCE.md,AutoDense API Reference,1189,,4abd66fcc6eabbaa54214232209304c400f5b86f3769be695675f5c0909c2dc2,
docs/ARCHITECTURAL_DEBT.md,Architectural Debt - Known Issues for Future Cleanup,440,,8c0cb5688e2d86fa2160048bcc105eb3c797f8e607ef23b935bcc7a87d84fcdc,
docs/BandAssist.md,BandAssist System - User-Guided Band Detection,3161,,23bdcf12561641b6dc11d5053e1573368b583e5a3a6e95121cea55d6741d60d0,
docs/Bundle and Ship.md,Ship strategy (what to bundle vs. fetch),1872,,91f3041db0c7ce7922ae12322229ae4deb2dba04dad3b8ef6a248663874108c3,
docs/CANONICAL_TOOLS_SUMMARY.md,Canonical Tool Surface - Streamlined Gemini Interface,704,,09eb2134c152261ec1d3dc56b714d5db371a09b4d134a32b91c86f6a9ad75234,
docs/CHANGELOG.md,AutoDense Changelog,2825,,da42e47fe295a4bde53c9478c17a685cdbb31dbfd06dc5781f83922693d310f3,
docs/COLONY_CLASSIFIER_IMPLEMENTATION.md,Enhanced ColonyClassifier Implementation ✅,954,,f80dde54ff54f101d0390dd4a962aa73f472f76be735310201594f4c1fc3e40e,
docs/COLONY_EXPORT_SYSTEM.md,Colony Analysis Export System,919,,d53d97921bf3e5bdb41007e135ba961b9e6d83b666b6a97ddb0308dafa87fc92,
docs/COLONY_IDENTIFICATION_ASSIST.md,Colony Identification Assist System ✅,1691,,9e5bcb379777fc2401dbfc61b9c51ec1ca033fc846c9f60cdc120f9c4b3883bc,
docs/COLONY_NORMALIZATION.md,Colony Normalization System ✅,1115,,dd3955eb522da803f1f4681016967206bf92f7d5c0a7f20cfda72602b17782df,
docs/CORE_DETECTOR_IMPLEMENTATION.md,Core PlateDetector Implementation ✅,693,,e422235968c0c6cbec349939ae2f7ed8c67f349b404019c7381d8450f283c9ca,
docs/DEBUGGING_CHECKLIST.md,AutoDense Debugging Checklist,874,,993e05d1dc71569dfcadb801421e637fd72229b17974bb7b9f900c2bb9383565,
docs/DEMO_SYSTEM.md,AutoDense Demo System,870,,5b45bedd2afffa5cbee6195d9d81c6428f7d7492e24efe6e816cf473e0df93c3,
docs/DEPENDENCY_STRATEGY.md,AutoDense Dependency Management Strategy,979,,b76e40b14aa6677ff0ac1bbd1ea837f00d1a0a04a69765e435799e489c84d0aa,
docs/DEPRECATED_TEMPLATE.md,Deprecated — This document has moved,98,README.md,b0697c5cf018810d2518375cfc76067a29c749991cf9269920894241e46e6b0a,2025-08-26
docs/DOCUMENTATION.md,AutoDense Documentation,2531,#api-reference;#architecture;#core-features;#examples--tutorials;#image-preprocessing;#installation--setup;#molecular-weight-standards;#natural-language-interface;#overview;#scientific-methodologies;#troubleshooting;#workflow-recording-system,01d46df5eb553e2e75371b09733d27e992361c88e8f76f8ecc226d9313a19c22,
docs/EXPORT_SYSTEM.md,User Export System for Labeled Gel Images,927,/Users/scientist/Downloads/gel_result.png;western_blot_day1.png,0e2dc297acd6112c95d9319846bf5f30a4ca168aff8f7388d5f81a1c67c960a7,
docs/FIJI_ANALYSIS_INTEGRATION.md,Fiji Gel Analysis Integration Guide,1278,,4ea2f60440efbdc5d1631118cdb9bfacbb3875138d3cbf49558f89775b2b59bb,
docs/FRONTEND_ENHANCEMENTS.md,AutoDense Frontend Enhancements,874,,b08325a235bfe8f4ec4dfb6b33d27b14c839775de98f6b240ba97c331d0e992d,
docs/FUNCTIONAL_ARCHITECTURE_INTEGRATION.md,ColonyAnalysisTools Integration Complete ✅,615,,17187465203ea036ce90b175427e79d2bf6a834a18954cdffae017c7d9ce4798,
docs/HANDLE_PERSISTENCE_STRATEGY.md,Handle Persistence Strategy,767,,0e52d956da02b028ade68ff8e5707ebc2b081b4356b3b066d361cb9969fe7f22,
docs/IMPLEMENTATION_PLAN.md,AutoDense Implementation Plan: Fiji Integration,1889,,454253ade7c1cd8759fae488be987997f109302a56b75ec63ba755e84d62fc43,
docs/Instructions.md,0) What we’re shipping,2627,,e0a6bdeb8be49fba3233df45f0575ae6cd650ef5fba40cffb49fec0b074afbbd,
docs/MIGRATION.md,Migration Guide: Old to New Architecture,856,,95c095685f32afb9094df25d59b07126ed08965a796172ceda6212ea3df8c2e4,
docs/More Fiji imports.md,Pre‑analysis image hygiene (orientation & framing),2555,,ee14601865184cc243845239187326ad4f624fbd00670321b65368a680810e2b,
docs/NEW_DOC_TEMPLATE.md,Document Title Here,61,,7cd022e8fa5014990a9667cb251682446e00a8bd417ea684fb53af856ffb311f,
docs/New plan.md,Architecture that works,1798,,1f458e0589de4f7eee72a576c18cc4d7393bca2c747236393c7772b3a266fed9,
docs/PERFORMANCE_OPTIMIZATIONS.md,Performance Optimization System,1237,,75a66eac4520beb1d56d7565e6d79eff8863b75c93bef9c0db15237d22da7c7f,
docs/PLATE_ANALYSIS_DEFAULTS.md,Plate Analysis Defaults System ✅,1468,,0d9445b79f760f88df53cd7c56d2f0566bd281a1fa58354ab0031e9f369f8b02,
docs/PROJECT_STATUS.md,AutoDense Project Status,790,../Architecture.md;API_REFERENCE.md;DEBUGGING_CHECKLIST.md;FIJI_ANALYSIS_INTEGRATION.md;IMPLEMENTATION_PLAN.md,8b8c3cb36c8820b12d1b5b95a7da906dcfa5de00d925d52155dfa6253da7608d,
docs/ProteinQuantificationWorkflowIdea.md,1) NL/Tool surface (keep Gemini on rails),1993,,45e34901f60570c638f6b4164d84a85d23eae9676dcf9a0dfa72441d6d530f99,
docs/README.md,AutoDense Documentation Hub,415,../Architecture.md;../CLAUDE.md;../autodense/README.md;API_REFERENCE.md;ARCHITECTURAL_DEBT.md;BandAssist.md;Bundle and Ship.md;CANONICAL_TOOLS_SUMMARY.md;CHANGELOG.md;COLONY_CLASSIFIER_IMPLEMENTATION.md;COLONY_EXPORT_SYSTEM.md;COLONY_IDENTIFICATION_ASSIST.md;COLONY_NORMALIZATION.md;CORE_DETECTOR_IMPLEMENTATION.md;DEBUGGING_CHECKLIST.md;DEMO_SYSTEM.md;DEPENDENCY_STRATEGY.md;DEPRECATED_TEMPLATE.md;EXPORT_SYSTEM.md;FIJI_ANALYSIS_INTEGRATION.md;FRONTEND_ENHANCEMENTS.md;FUNCTIONAL_ARCHITECTURE_INTEGRATION.md;HANDLE_PERSISTENCE_STRATEGY.md;IMPLEMENTATION_PLAN.md;Instructions.md;MIGRATION.md;More Fiji imports.md;NEW_DOC_TEMPLATE.md;New plan.md;PERFORMANCE_OPTIMIZATIONS.md;PLATE_ANALYSIS_DEFAULTS.md;PROJECT_STATUS.md;ProteinQuantificationWorkflowIdea.md;RELEASE_NOTES.md;STATUSLOG.md;STREAMLINED_COLONY_ANALYSIS_SYSTEM.md;TOOL_VALIDATION_SYSTEM.md;VISUAL_MARKUP_STRATEGY.md;WorkflowPresets.md;perspective_robustness_analysis.md;robust_plate_registration_summary.md;test_sharpness_smear.md;xgal_improvements_summary.md,d282fd757b002bb34516b15e3f0e72952fd7b1564a8ab518a566d3c9ed00f43d,
docs/RELEASE_NOTES.md,AutoDense Release Notes,1719,,21b550e187acbff287d97832b1ac3e7adaeeeac8c698d9519ea5721b478f3739,
docs/STATUSLOG.md,Deprecated — This document has moved,75,PROJECT_STATUS.md,f39b1a673b7eb3ae93222c0355993f35f9d02d4e04b727fbce33ca314cf2443e,2025-08-26
docs/STREAMLINED_COLONY_ANALYSIS_SYSTEM.md,Streamlined Colony Analysis System ✅,1582,,4906bce53b20076c4c294a6c2bb756aac4fe31f74d3b9a472ee3614b9370406c,
docs/SuccessLog.md,Deprecated — This document has moved,75,PROJECT_STATUS.md,f39b1a673b7eb3ae93222c0355993f35f9d02d4e04b727fbce33ca314cf2443e,2025-08-26
docs/TOOL_VALIDATION_SYSTEM.md,Tool Validation and Response System,861,,8d7599fbe864abdc033a1eb4f3e1f13cac592a7cf49273951563b623f6de28b2,
docs/VISUAL_MARKUP_STRATEGY.md,Visual Markup Strategy for Gel Analysis,868,,f6d3be81dff308d83d7f0e2a04e3d16a58c5841a2b085eedc18650f803e6f2d7,
docs/WorkflowPresets.md,AutoDense Workflow Presets Documentation,5966,,87e0e912720b4c975f1107d11c4ef346183cb5ec008a0ed724a438f7a478b128,
